DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
DEPUTADO DISTRITAL;14321;ANTHONY RIBAS DA SILVA FELINTO
DEPUTADO DISTRITAL;14001;WELLINGTON RODRIGUES CAMPOS JNIOR
DEPUTADO DISTRITAL;27123;MARCOS GUTEMBERG FIALHO DA COSTA
DEPUTADO DISTRITAL;27272;INES FERREIRA DOS SANTOS
DEPUTADO DISTRITAL;27111;GATHA CRISTINA NUNES LOPES
DEPUTADO DISTRITAL;27777;FERNANDO GOMES DE ARAJO ALMEIDA
DEPUTADO DISTRITAL;27700;IZAQUIEL DA SILVA SOUZA
DEPUTADO DISTRITAL;27277;WILLIAN MARTINS DE SOUZA
DEPUTADO DISTRITAL;35888;MNICA DE SOUZA GOMES
DEPUTADO DISTRITAL;35333;ESTEFFANY RODRIGUES DE SOUSA
DEPUTADO DISTRITAL;40140;JSSICA DE GOIS MOTTA
DEPUTADO DISTRITAL;12300;ZAQUEU DE OLIVEIRA BRAGA
DEPUTADO DISTRITAL;12361;FERNANDO SANTOS SOUSA
DEPUTADO DISTRITAL;12321;GABRIELLY LETICYA LOPES DOS SANTOS
DEPUTADO DISTRITAL;10061;MANOEL MESSIAS GALVAO RIBAS
DEPUTADO DISTRITAL;22000;JOAQUIM DOMINGOS RORIZ NETO
DEPUTADO DISTRITAL;22722;SAMUEL NOGUEIRA CORREA
DEPUTADO DISTRITAL;22122;CAROLINE KALIL POSADA
DEPUTADO DISTRITAL;13111;LUCIA HELENA DE CARVALHO
DEPUTADO DISTRITAL;13000;ROSILENE SILVA DA COSTA
DEPUTADO DISTRITAL;43222;JEAN CARLOS SOUSA
DEPUTADO DISTRITAL;45145;DIEGO GOMES CLAUDINO
DEPUTADO DISTRITAL;45777;SAPHIRA PEREIRA ALVES
DEPUTADO DISTRITAL;45525;MARIA JOSE BARBOZA LIANDRO
DEPUTADO DISTRITAL;45451;SORAYA COSTA DE JESUS
DEPUTADO DISTRITAL;55533;SANDRO BILKS ALVES BARROS
